date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:57:20	124979/124979	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2012:58:21%20GMT	https://templates.iqonic.design/calendify/html/backend/index.html	C:/My%20Web%20Sites/calender%20html/templates.iqonic.design/calendify/html/backend/index.html	(from )
21:57:20	236/236	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Nov%202023%2017:57:21%20GMT	https://templates.iqonic.design/robots.txt		(from )
21:57:21	426002/426002	---MCZ	200	added ('OK')	text/css	etag:%2268012-5c4912dc38357-gzip%22	https://templates.iqonic.design/calendify/html/assets/css/backend.min.css?v=1.0.1	C:/My%20Web%20Sites/calender%20html/templates.iqonic.design/calendify/html/assets/css/backend.minf700.css	(from https://templates.iqonic.design/calendify/html/backend/index.html)
21:57:21	58935/58935	---M-Z	200	added ('OK')	text/css	etag:%22e637-5c4912dc49c97-gzip%22	https://templates.iqonic.design/calendify/html/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css	C:/My%20Web%20Sites/calender%20html/templates.iqonic.design/calendify/html/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css	(from https://templates.iqonic.design/calendify/html/backend/index.html)
21:57:21	89729/89729	---M-Z	200	added ('OK')	text/css	etag:%2215e81-5c4912dc920db-gzip%22	https://templates.iqonic.design/calendify/html/assets/vendor/line-awesome/dist/line-awesome/css/line-awesome.min.css	C:/My%20Web%20Sites/calender%20html/templates.iqonic.design/calendify/html/assets/vendor/line-awesome/dist/line-awesome/css/line-awesome.min.css	(from https://templates.iqonic.design/calendify/html/backend/index.html)
21:57:21	110438/110438	---M-Z	200	added ('OK')	text/css	etag:%221af66-5c4912dc9401b-gzip%22	https://templates.iqonic.design/calendify/html/assets/vendor/remixicon/fonts/remixicon.css	C:/My%20Web%20Sites/calender%20html/templates.iqonic.design/calendify/html/assets/vendor/remixicon/fonts/remixicon.css	(from https://templates.iqonic.design/calendify/html/backend/index.html)
21:57:21	12296/12296	---M--	200	added ('OK')	image/png	etag:%223008-5c4912dc40057%22	https://templates.iqonic.design/calendify/html/assets/images/logo.png	C:/My%20Web%20Sites/calender%20html/templates.iqonic.design/calendify/html/assets/images/logo.png	(from https://templates.iqonic.design/calendify/html/backend/index.html)
21:57:21	12220/12220	---M--	200	added ('OK')	image/png	etag:%222fbc-5c4912dc40057%22	https://templates.iqonic.design/calendify/html/assets/images/logo-white.png	C:/My%20Web%20Sites/calender%20html/templates.iqonic.design/calendify/html/assets/images/logo-white.png	(from https://templates.iqonic.design/calendify/html/backend/index.html)
21:57:22	61767/61767	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2012:58:21%20GMT	https://templates.iqonic.design/calendify/html/backend/main-my-schedule.html	C:/My%20Web%20Sites/calender%20html/templates.iqonic.design/calendify/html/backend/main-my-schedule.html	(from https://templates.iqonic.design/calendify/html/backend/index.html)
21:57:22	61485/61485	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2012:58:21%20GMT	https://templates.iqonic.design/calendify/html/backend/main-integration.html	C:/My%20Web%20Sites/calender%20html/templates.iqonic.design/calendify/html/backend/main-integration.html	(from https://templates.iqonic.design/calendify/html/backend/index.html)
21:57:22	67869/67869	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2012:58:21%20GMT	https://templates.iqonic.design/calendify/html/backend/ui-avatars.html	C:/My%20Web%20Sites/calender%20html/templates.iqonic.design/calendify/html/backend/ui-avatars.html	(from https://templates.iqonic.design/calendify/html/backend/index.html)
21:57:23	87727/87727	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2012:58:21%20GMT	https://templates.iqonic.design/calendify/html/backend/ui-alerts.html	C:/My%20Web%20Sites/calender%20html/templates.iqonic.design/calendify/html/backend/ui-alerts.html	(from https://templates.iqonic.design/calendify/html/backend/index.html)
21:57:23	66269/66269	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2012:58:21%20GMT	https://templates.iqonic.design/calendify/html/backend/ui-badges.html	C:/My%20Web%20Sites/calender%20html/templates.iqonic.design/calendify/html/backend/ui-badges.html	(from https://templates.iqonic.design/calendify/html/backend/index.html)
21:57:23	64831/64831	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2012:58:21%20GMT	https://templates.iqonic.design/calendify/html/backend/ui-breadcrumb.html	C:/My%20Web%20Sites/calender%20html/templates.iqonic.design/calendify/html/backend/ui-breadcrumb.html	(from https://templates.iqonic.design/calendify/html/backend/index.html)
21:57:24	81540/81540	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2012:58:21%20GMT	https://templates.iqonic.design/calendify/html/backend/ui-buttons.html	C:/My%20Web%20Sites/calender%20html/templates.iqonic.design/calendify/html/backend/ui-buttons.html	(from https://templates.iqonic.design/calendify/html/backend/index.html)
21:57:24	73142/73142	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2012:58:21%20GMT	https://templates.iqonic.design/calendify/html/backend/ui-buttons-group.html	C:/My%20Web%20Sites/calender%20html/templates.iqonic.design/calendify/html/backend/ui-buttons-group.html	(from https://templates.iqonic.design/calendify/html/backend/index.html)
21:57:25	60656/60656	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2012:58:21%20GMT	https://templates.iqonic.design/calendify/html/backend/ui-boxshadow.html	C:/My%20Web%20Sites/calender%20html/templates.iqonic.design/calendify/html/backend/ui-boxshadow.html	(from https://templates.iqonic.design/calendify/html/backend/index.html)
21:57:25	65932/65932	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2012:58:21%20GMT	https://templates.iqonic.design/calendify/html/backend/ui-colors.html	C:/My%20Web%20Sites/calender%20html/templates.iqonic.design/calendify/html/backend/ui-colors.html	(from https://templates.iqonic.design/calendify/html/backend/index.html)
21:57:25	81639/81639	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2012:58:21%20GMT	https://templates.iqonic.design/calendify/html/backend/ui-cards.html	C:/My%20Web%20Sites/calender%20html/templates.iqonic.design/calendify/html/backend/ui-cards.html	(from https://templates.iqonic.design/calendify/html/backend/index.html)
21:57:26	66132/66132	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2012:58:21%20GMT	https://templates.iqonic.design/calendify/html/backend/ui-carousel.html	C:/My%20Web%20Sites/calender%20html/templates.iqonic.design/calendify/html/backend/ui-carousel.html	(from https://templates.iqonic.design/calendify/html/backend/index.html)
21:57:26	77706/77706	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2012:58:21%20GMT	https://templates.iqonic.design/calendify/html/backend/ui-grid.html	C:/My%20Web%20Sites/calender%20html/templates.iqonic.design/calendify/html/backend/ui-grid.html	(from https://templates.iqonic.design/calendify/html/backend/index.html)
21:57:26	74685/74685	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2012:58:21%20GMT	https://templates.iqonic.design/calendify/html/backend/ui-helper-classes.html	C:/My%20Web%20Sites/calender%20html/templates.iqonic.design/calendify/html/backend/ui-helper-classes.html	(from https://templates.iqonic.design/calendify/html/backend/index.html)
21:57:27	68398/68398	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2012:58:21%20GMT	https://templates.iqonic.design/calendify/html/backend/ui-images.html	C:/My%20Web%20Sites/calender%20html/templates.iqonic.design/calendify/html/backend/ui-images.html	(from https://templates.iqonic.design/calendify/html/backend/index.html)
